product_name,website,country,category,subcategory,title-href,price,brand,ingredients,form,type,color,size,rating,noofratings
Deadsea Water Mineral Shower Gel,ulta,USA,body,bodywash,https://www.ulta.com/p/deadsea-water-mineral-shower-gel-xlsImpprod13371073?sku=2297976,3676.5,Ahava,"Aqua (Mineral Spring Water), Ammonium Lauryl Sulfate & Aqua (Water), Zinc Coceth Sulfate, Cocamidopropyl Betaine, Aloe Barbadensis Leaf Juice, Phenoxyethanol & Ethylhexylglycerin, Maris Sal (Dead Sea Water), Hydroxyethylcellulose, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Allantoin, Potassium Sorbate, Parfum (Fragrance), Biosaccharide Gum-1.",cream,all,No color,510,4.4,21
Moisturizing Body Wash,ulta,USA,body,bodywash,https://www.ulta.com/p/moisturizing-body-wash-pimprod2006047?sku=2549562,1061.28,Alpha Skin Care,"Water, Sodium Laureth Sulfate, Sodium Myristoyl Sarcosinate, Glycolic Acid (AHA), Glycerin, Cocamidopropyl Betaine, Ammonium Hydroxide, Glycol Distearate, Sodium Chloride, Fragrance, Cocamide MEA, Laureth 10, Hydroxypropyl Methylcellulose, Methylchloroisothiazolinone, Methylisothiazolinone, Aloe Vera Gel, Green Pea Hydrolyzed Protein, Benzophenone-4, Tocopheryl Acetate (Vitamin E), FD&C Green #3.",cream,all,No color,360,4.5,23
24-Hour Deodorant Body Wash,ulta,USA,body,bodywash,https://www.ulta.com/p/24-hour-deodorant-body-wash-xlsImpprod10271072?sku=2264817,1184.65,American Crew,"Aqua (Water) (Eau), Sodium Laureth Sulfate, Cocamide MEA, Glycerin, Cocamidopropyl Betaine, PEG-120 Methyl Glucose Dioleate, Polyquaternium-10, Sodium Chloride, Lauryl Glucoside, Sodium Hydroxide, Melaleuca Alternifolia (Tea Tree) Leaf , Mentha Piperita (Peppermint) , Tocopheryl Acetate, Citric Acid, Allantoin, Parfum (Fragrance), Limonene, Phenoxyethanol, Methylisothiazolinone, Silver Citrate.",cream,all,No color,456,4.7,24
"3-in-1 Tea Tree Shampoo, Conditioner and Body Wash",ulta,USA,body,bodywash,https://www.ulta.com/p/3-in-1-tea-tree-shampoo-conditioner-body-wash-xlsImpprod13762541?sku=2299698,1552.3,American Crew,"Aqua (Water (Eau), Sodium Laureth Sulfate, Dimethicone, Lauryl Glucoside, Cocamidopropyl Betaine, Acrylates Copolymer, Sodium Chloride, Laureth-4, Caprylyl Glycol, Glycol Distearate, Glyceryl Oleate, Coco-Glucoside, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Laureth-23, Sodium Hydroxide, Citric Acid, Disodium EDTA, Melaleuca Alternifolia (Tea Tree) Leaf , Propylene Glycol, Humulus Lupulus (Hops) Flower Extract, Salvia Officinalis (Sage) Leaf Extract, Parfum (Fragrance), Phenoxyethanol, Benzyl Alcohol.",cream,all,No color,456,4.7,59
God Is A Woman Body Scrub Soufflï¿½,ulta,USA,body,bodywash,https://www.ulta.com/p/god-a-woman-body-scrub-souffle-pimprod2034286?sku=2597252,2451,Ariana Grande,"Sodium Chloride, Glycerin, Helianthus Annuus (Sunflower) Seed , Fragrance/Parfum, Glyceryl Stearate, Kaolin, Sodium Stearoyl Lactylate, Cocos Nucifera (Coconut) , Water/Aqua/Eau, Butyrospermum Parkii (Shea) Butter, Carthamus Tinctorius (Safflower) Seed , Glyceryl Stearate SE, Tocopherol, Caprylic/Capric Triglyceride, Rosa Canina Fruit , Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Himanthalia Elongata Extract, Raphanus Sativus (Radish) Root Extract, Maltodextrin, Coccinia Indica Fruit Extract, Gardenia Florida Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Simmondsia Chinensis (Jojoba) Seed , Curcuma Longa (Turmeric) Root Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract.",cream,all,No color,180,3.9,54
Oatmilk Calendula Moisturizing Bubble Bath and Wash,ulta,USA,body,bodywash,https://www.ulta.com/p/oatmilk-calendula-moisturizing-bubble-bath-wash-xlsImpprod6390725?sku=2246890,1429.75,Babo Botanicals,"Anthemis Nobilis (Chamomile Tea) Infusion, Aloe Barbadensis (Aloe Leaf Juice, Decyle Glucoside, Lauryl Glucoside (From Sugar), Glycerin (Vegetable), Avena Sativa Kernel (Oat) Extract, Extracts of Calendula Officinalis (Calendula) Flower, Matricaria Recutita (Chamomile) Flower, Pueraria Lobota (Kudzu) Root), Spiraea Ulmaria (Meadowsweet) Flower, Nasturtium Officinale (Wild-Crafted Watercress), Chondrus Crispus (Carrageenan) Extract, Sodium Benzoate, Potassium Sorbate (Food Grade Perservative), Sodium Phytate (Rice Bran Extract). Certified Organic Ingredients.",cream,all,No color,405,4.7,57
"3-in-1 Eucalyptus Remedy Bubble Bath, Wash & Shampoo",ulta,USA,body,bodywash,https://www.ulta.com/p/3-in-1-eucalyptus-remedy-bubble-bath-wash-shampoo-pimprod2027318?sku=2588337,1429.75,Babo Botanicals,"Water (Aqua), Sodium Lauroyl Methyl Isethionte, Coco Betaine, Coco-Glucoside, Glycerin, Sodium Methyl Cocoyl Taurate, Aloe Barbadensis (Aloe Vera) Leaf Juice, Argania Spinosa (Argan) Kernel , Butyrospermum Parkii (Shea) Butter, Eucalyptus Globulus Leaf , Mentha Piperita (Peppermint) Leaf , Rosmarinus Officinalis (Rosemary) Leaf , Cocos Nucifera (Coconut) , Xanthan Gum, Capryloyl Glycine, Rosmarinus Officinalis (Rosemary) Leaf Extract, Guar Hydroxypropyltrimonium Chloride, Nutri-Soothe Complex [Glycerin, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Nasturtium Officinale (Watercress) Flower/Leaf Extract, Pueraria Lobata (Kudzu Root) Root Extract, Spiraea Ulmaria (Meadowsweet) Flower Extract], Avena Sativa (Oat) Kernel, Sodium Copper (Chlorophyll ) Chlorophyllin, Potassium Sorbate, Sodium Chloride, Citric Acid. Certified Organic Ingredients",cream,all,No color,450,4.8,30
"Calming Bubble Bath, Shampoo & Wash",ulta,USA,body,bodywash,https://www.ulta.com/p/calming-bubble-bath-shampoo-wash-xlsImpprod3160241?sku=2228207,1429.75,Babo Botanicals,"water (Agua), Organic Aloe Barbadensis (Aloe) Leaf Juice, , Decyl Glucoside, Lauryl Glucoside (from sugar), Glycerin (Vegetable), Natural Lavender-Melon Essential  Blend, Glucono Delta Lactone (natural ferment of sugar), Xanthan Gum, Organic Meadowsweet (Spiraea Ulmaria) Extract, Organic Anthemis Nobilis (chamomile) Flower Extract, Organic Nasturtium Officinale (Watercress) Extract, Organic Pueraria Lobata (Kudzo) Root Extract, Potassium Sorbate (food grade preservative), CHONDRUS CRISPUS (CARRAGEENAN) EXTRACT Certified Organic ingredients",cream,all,No color,450,4.7,57
"Sensitive Baby Fragrance Free Shampoo & Wash For Sensitive & Eczema-Prone Skin, EWG Verified",ulta,USA,body,bodywash,https://www.ulta.com/p/sensitive-baby-fragrance-free-shampoo-wash-sensitive-eczema-prone-skin-ewg-verified-xlsImpprod18391083?sku=2531776,1429.75,Babo Botanicals,"Aloe Barbadensis Leaf Juice, Sodium Cocoamphoacetate (From Coconut ), Sodium Lauryl Glucose Carboxylate (Sugar Based), Lauryl Glucoside (From Sugar and Coconut), Sodium Chloride, Coco Glucoside (From Sugar and Coconut), Glyceryl Oleate (From Sugar and Coconut) , Hydrolyzed Oat Protein, Calendula of Cinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Nasturtium Officinale (Watercress) Flower/Leaf Extract, Pueraria Lobata (Kudzu) Root Extract, Spiraea Ulmaris (Meadowsweet) Flower Extract, Citric Acid, Sodium Dehydroacetate, Vegetable Glycerin, Sodium Gluconate, Cocos Nucifera (Coconut) , Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter. Certified Organic Ingredients.",cream,all,No color,480,4.3,43
Invigorating Body Wash,ulta,USA,body,bodywash,https://www.ulta.com/p/invigorating-body-wash-xlsImpprod18591033?sku=2533735,1944.46,Baxter of California,Aqua / Water / Eau Disodium Laureth Sulfosuccinate Glycerin Cocamidopropyl Betaine Sodium Cocoamphoacetate PPG-5-Ceteth-20 Sodium Lauryl Sulfoacetate Decyl Glucoside Sodium Chloride Parfum / Fragrance Sucrose Cocoate PEG-150 PEntaerythrityl Tetrastearate Caprylyl Glycol PEG-6 Caprylic/Capric Glycerides Salicylic Acid Benzoic Acid Linalool Aloe Barbadensis Leaf Juice Powder Caffeine Ascorbyl Glucoside Limonene Trisodium Ethylenediamine Disuccinate Citronellol Geraniol Benzyl Alcohol CI 14700 / Red 4 CI 15985 / Yellow 6 CI 19140 / Yellow 5 Sodium Hydroxide Citric Acid.,cream,all,No color,480,4.1,9
